date_sk,date,start_of_year,start_of_quarter,start_of_month,load_date
36,2012-02-05,2012-01-01,2012-01-01,2012-02-01,2026-04-04
37,2012-02-06,2012-01-01,2012-01-01,2012-02-01,2026-04-04
38,2012-02-07,2012-01-01,2012-01-01,2012-02-01,2026-04-04
39,2012-02-08,2012-01-01,2012-01-01,2012-02-01,2026-04-04
40,2012-02-09,2012-01-01,2012-01-01,2012-02-01,2026-04-04
41,2012-02-10,2012-01-01,2012-01-01,2012-02-01,2026-04-04
42,2012-02-11,2012-01-01,2012-01-01,2012-02-01,2026-04-04
43,2012-02-12,2012-01-01,2012-01-01,2012-02-01,2026-04-04
44,2012-02-13,2012-01-01,2012-01-01,2012-02-01,2026-04-04
45,2012-02-14,2012-01-01,2012-01-01,2012-02-01,2026-04-04
46,2012-02-15,2012-01-01,2012-01-01,2012-02-01,2026-04-04
47,2012-02-16,2012-01-01,2012-01-01,2012-02-01,2026-04-04
48,2012-02-17,2012-01-01,2012-01-01,2012-02-01,2026-04-04
49,2012-02-18,2012-01-01,2012-01-01,2012-02-01,2026-04-04
50,2012-02-19,2012-01-01,2012-01-01,2012-02-01,2026-04-04
51,2012-02-20,2012-01-01,2012-01-01,2012-02-01,2026-04-04
52,2012-02-21,2012-01-01,2012-01-01,2012-02-01,2026-04-04
53,2012-02-22,2012-01-01,2012-01-01,2012-02-01,2026-04-04
54,2012-02-23,2012-01-01,2012-01-01,2012-02-01,2026-04-04
55,2012-02-24,2012-01-01,2012-01-01,2012-02-01,2026-04-04
56,2012-02-25,2012-01-01,2012-01-01,2012-02-01,2026-04-04
57,2012-02-26,2012-01-01,2012-01-01,2012-02-01,2026-04-04
58,2012-02-27,2012-01-01,2012-01-01,2012-02-01,2026-04-04
59,2012-02-28,2012-01-01,2012-01-01,2012-02-01,2026-04-04
60,2012-02-29,2012-01-01,2012-01-01,2012-02-01,2026-04-04
61,2012-03-01,2012-01-01,2012-01-01,2012-03-01,2026-04-04
62,2012-03-02,2012-01-01,2012-01-01,2012-03-01,2026-04-04
63,2012-03-03,2012-01-01,2012-01-01,2012-03-01,2026-04-04
64,2012-03-04,2012-01-01,2012-01-01,2012-03-01,2026-04-04
65,2012-03-05,2012-01-01,2012-01-01,2012-03-01,2026-04-04
66,2012-03-06,2012-01-01,2012-01-01,2012-03-01,2026-04-04
67,2012-03-07,2012-01-01,2012-01-01,2012-03-01,2026-04-04
68,2012-03-08,2012-01-01,2012-01-01,2012-03-01,2026-04-04
69,2012-03-09,2012-01-01,2012-01-01,2012-03-01,2026-04-04
70,2012-03-10,2012-01-01,2012-01-01,2012-03-01,2026-04-04
71,2012-03-11,2012-01-01,2012-01-01,2012-03-01,2026-04-04
72,2012-03-12,2012-01-01,2012-01-01,2012-03-01,2026-04-04
73,2012-03-13,2012-01-01,2012-01-01,2012-03-01,2026-04-04
74,2012-03-14,2012-01-01,2012-01-01,2012-03-01,2026-04-04
75,2012-03-15,2012-01-01,2012-01-01,2012-03-01,2026-04-04
76,2012-03-16,2012-01-01,2012-01-01,2012-03-01,2026-04-04
77,2012-03-17,2012-01-01,2012-01-01,2012-03-01,2026-04-04
78,2012-03-18,2012-01-01,2012-01-01,2012-03-01,2026-04-04
79,2012-03-19,2012-01-01,2012-01-01,2012-03-01,2026-04-04
80,2012-03-20,2012-01-01,2012-01-01,2012-03-01,2026-04-04
81,2012-03-21,2012-01-01,2012-01-01,2012-03-01,2026-04-04
82,2012-03-22,2012-01-01,2012-01-01,2012-03-01,2026-04-04
83,2012-03-23,2012-01-01,2012-01-01,2012-03-01,2026-04-04
84,2012-03-24,2012-01-01,2012-01-01,2012-03-01,2026-04-04
85,2012-03-25,2012-01-01,2012-01-01,2012-03-01,2026-04-04
86,2012-03-26,2012-01-01,2012-01-01,2012-03-01,2026-04-04
87,2012-03-27,2012-01-01,2012-01-01,2012-03-01,2026-04-04
88,2012-03-28,2012-01-01,2012-01-01,2012-03-01,2026-04-04
89,2012-03-29,2012-01-01,2012-01-01,2012-03-01,2026-04-04
90,2012-03-30,2012-01-01,2012-01-01,2012-03-01,2026-04-04
91,2012-03-31,2012-01-01,2012-01-01,2012-03-01,2026-04-04
92,2012-04-01,2012-01-01,2012-04-01,2012-04-01,2026-04-04
93,2012-04-02,2012-01-01,2012-04-01,2012-04-01,2026-04-04
94,2012-04-03,2012-01-01,2012-04-01,2012-04-01,2026-04-04
95,2012-04-04,2012-01-01,2012-04-01,2012-04-01,2026-04-04
96,2012-04-05,2012-01-01,2012-04-01,2012-04-01,2026-04-04
97,2012-04-06,2012-01-01,2012-04-01,2012-04-01,2026-04-04
98,2012-04-07,2012-01-01,2012-04-01,2012-04-01,2026-04-04
99,2012-04-08,2012-01-01,2012-04-01,2012-04-01,2026-04-04
100,2012-04-09,2012-01-01,2012-04-01,2012-04-01,2026-04-04
101,2012-04-10,2012-01-01,2012-04-01,2012-04-01,2026-04-04
102,2012-04-11,2012-01-01,2012-04-01,2012-04-01,2026-04-04
103,2012-04-12,2012-01-01,2012-04-01,2012-04-01,2026-04-04
104,2012-04-13,2012-01-01,2012-04-01,2012-04-01,2026-04-04
105,2012-04-14,2012-01-01,2012-04-01,2012-04-01,2026-04-04
106,2012-04-15,2012-01-01,2012-04-01,2012-04-01,2026-04-04
107,2012-04-16,2012-01-01,2012-04-01,2012-04-01,2026-04-04
108,2012-04-17,2012-01-01,2012-04-01,2012-04-01,2026-04-04
109,2012-04-18,2012-01-01,2012-04-01,2012-04-01,2026-04-04
110,2012-04-19,2012-01-01,2012-04-01,2012-04-01,2026-04-04
111,2012-04-20,2012-01-01,2012-04-01,2012-04-01,2026-04-04
112,2012-04-21,2012-01-01,2012-04-01,2012-04-01,2026-04-04
113,2012-04-22,2012-01-01,2012-04-01,2012-04-01,2026-04-04
114,2012-04-23,2012-01-01,2012-04-01,2012-04-01,2026-04-04
115,2012-04-24,2012-01-01,2012-04-01,2012-04-01,2026-04-04
116,2012-04-25,2012-01-01,2012-04-01,2012-04-01,2026-04-04
117,2012-04-26,2012-01-01,2012-04-01,2012-04-01,2026-04-04
118,2012-04-27,2012-01-01,2012-04-01,2012-04-01,2026-04-04
119,2012-04-28,2012-01-01,2012-04-01,2012-04-01,2026-04-04
120,2012-04-29,2012-01-01,2012-04-01,2012-04-01,2026-04-04
121,2012-04-30,2012-01-01,2012-04-01,2012-04-01,2026-04-04
122,2012-05-01,2012-01-01,2012-04-01,2012-05-01,2026-04-04
123,2012-05-02,2012-01-01,2012-04-01,2012-05-01,2026-04-04
124,2012-05-03,2012-01-01,2012-04-01,2012-05-01,2026-04-04
125,2012-05-04,2012-01-01,2012-04-01,2012-05-01,2026-04-04
126,2012-05-05,2012-01-01,2012-04-01,2012-05-01,2026-04-04
127,2012-05-06,2012-01-01,2012-04-01,2012-05-01,2026-04-04
128,2012-05-07,2012-01-01,2012-04-01,2012-05-01,2026-04-04
129,2012-05-08,2012-01-01,2012-04-01,2012-05-01,2026-04-04
130,2012-05-09,2012-01-01,2012-04-01,2012-05-01,2026-04-04
131,2012-05-10,2012-01-01,2012-04-01,2012-05-01,2026-04-04
132,2012-05-11,2012-01-01,2012-04-01,2012-05-01,2026-04-04
133,2012-05-12,2012-01-01,2012-04-01,2012-05-01,2026-04-04
134,2012-05-13,2012-01-01,2012-04-01,2012-05-01,2026-04-04
135,2012-05-14,2012-01-01,2012-04-01,2012-05-01,2026-04-04
136,2012-05-15,2012-01-01,2012-04-01,2012-05-01,2026-04-04
137,2012-05-16,2012-01-01,2012-04-01,2012-05-01,2026-04-04
138,2012-05-17,2012-01-01,2012-04-01,2012-05-01,2026-04-04
139,2012-05-18,2012-01-01,2012-04-01,2012-05-01,2026-04-04
140,2012-05-19,2012-01-01,2012-04-01,2012-05-01,2026-04-04
141,2012-05-20,2012-01-01,2012-04-01,2012-05-01,2026-04-04
142,2012-05-21,2012-01-01,2012-04-01,2012-05-01,2026-04-04
143,2012-05-22,2012-01-01,2012-04-01,2012-05-01,2026-04-04
144,2012-05-23,2012-01-01,2012-04-01,2012-05-01,2026-04-04
145,2012-05-24,2012-01-01,2012-04-01,2012-05-01,2026-04-04
146,2012-05-25,2012-01-01,2012-04-01,2012-05-01,2026-04-04
147,2012-05-26,2012-01-01,2012-04-01,2012-05-01,2026-04-04
148,2012-05-27,2012-01-01,2012-04-01,2012-05-01,2026-04-04
149,2012-05-28,2012-01-01,2012-04-01,2012-05-01,2026-04-04
150,2012-05-29,2012-01-01,2012-04-01,2012-05-01,2026-04-04
151,2012-05-30,2012-01-01,2012-04-01,2012-05-01,2026-04-04
152,2012-05-31,2012-01-01,2012-04-01,2012-05-01,2026-04-04
153,2012-06-01,2012-01-01,2012-04-01,2012-06-01,2026-04-04
154,2012-06-02,2012-01-01,2012-04-01,2012-06-01,2026-04-04
155,2012-06-03,2012-01-01,2012-04-01,2012-06-01,2026-04-04
156,2012-06-04,2012-01-01,2012-04-01,2012-06-01,2026-04-04
157,2012-06-05,2012-01-01,2012-04-01,2012-06-01,2026-04-04
158,2012-06-06,2012-01-01,2012-04-01,2012-06-01,2026-04-04
159,2012-06-07,2012-01-01,2012-04-01,2012-06-01,2026-04-04
160,2012-06-08,2012-01-01,2012-04-01,2012-06-01,2026-04-04
161,2012-06-09,2012-01-01,2012-04-01,2012-06-01,2026-04-04
162,2012-06-10,2012-01-01,2012-04-01,2012-06-01,2026-04-04
163,2012-06-11,2012-01-01,2012-04-01,2012-06-01,2026-04-04
164,2012-06-12,2012-01-01,2012-04-01,2012-06-01,2026-04-04
165,2012-06-13,2012-01-01,2012-04-01,2012-06-01,2026-04-04
166,2012-06-14,2012-01-01,2012-04-01,2012-06-01,2026-04-04
167,2012-06-15,2012-01-01,2012-04-01,2012-06-01,2026-04-04
168,2012-06-16,2012-01-01,2012-04-01,2012-06-01,2026-04-04
169,2012-06-17,2012-01-01,2012-04-01,2012-06-01,2026-04-04
170,2012-06-18,2012-01-01,2012-04-01,2012-06-01,2026-04-04
171,2012-06-19,2012-01-01,2012-04-01,2012-06-01,2026-04-04
172,2012-06-20,2012-01-01,2012-04-01,2012-06-01,2026-04-04
173,2012-06-21,2012-01-01,2012-04-01,2012-06-01,2026-04-04
174,2012-06-22,2012-01-01,2012-04-01,2012-06-01,2026-04-04
175,2012-06-23,2012-01-01,2012-04-01,2012-06-01,2026-04-04
176,2012-06-24,2012-01-01,2012-04-01,2012-06-01,2026-04-04
177,2012-06-25,2012-01-01,2012-04-01,2012-06-01,2026-04-04
178,2012-06-26,2012-01-01,2012-04-01,2012-06-01,2026-04-04
179,2012-06-27,2012-01-01,2012-04-01,2012-06-01,2026-04-04
180,2012-06-28,2012-01-01,2012-04-01,2012-06-01,2026-04-04
181,2012-06-29,2012-01-01,2012-04-01,2012-06-01,2026-04-04
182,2012-06-30,2012-01-01,2012-04-01,2012-06-01,2026-04-04
183,2012-07-01,2012-01-01,2012-07-01,2012-07-01,2026-04-04
184,2012-07-02,2012-01-01,2012-07-01,2012-07-01,2026-04-04
185,2012-07-03,2012-01-01,2012-07-01,2012-07-01,2026-04-04
186,2012-07-04,2012-01-01,2012-07-01,2012-07-01,2026-04-04
187,2012-07-05,2012-01-01,2012-07-01,2012-07-01,2026-04-04
188,2012-07-06,2012-01-01,2012-07-01,2012-07-01,2026-04-04
189,2012-07-07,2012-01-01,2012-07-01,2012-07-01,2026-04-04
190,2012-07-08,2012-01-01,2012-07-01,2012-07-01,2026-04-04
191,2012-07-09,2012-01-01,2012-07-01,2012-07-01,2026-04-04
192,2012-07-10,2012-01-01,2012-07-01,2012-07-01,2026-04-04
193,2012-07-11,2012-01-01,2012-07-01,2012-07-01,2026-04-04
194,2012-07-12,2012-01-01,2012-07-01,2012-07-01,2026-04-04
195,2012-07-13,2012-01-01,2012-07-01,2012-07-01,2026-04-04
196,2012-07-14,2012-01-01,2012-07-01,2012-07-01,2026-04-04
197,2012-07-15,2012-01-01,2012-07-01,2012-07-01,2026-04-04
198,2012-07-16,2012-01-01,2012-07-01,2012-07-01,2026-04-04
199,2012-07-17,2012-01-01,2012-07-01,2012-07-01,2026-04-04
200,2012-07-18,2012-01-01,2012-07-01,2012-07-01,2026-04-04
201,2012-07-19,2012-01-01,2012-07-01,2012-07-01,2026-04-04
202,2012-07-20,2012-01-01,2012-07-01,2012-07-01,2026-04-04
203,2012-07-21,2012-01-01,2012-07-01,2012-07-01,2026-04-04
204,2012-07-22,2012-01-01,2012-07-01,2012-07-01,2026-04-04
205,2012-07-23,2012-01-01,2012-07-01,2012-07-01,2026-04-04
206,2012-07-24,2012-01-01,2012-07-01,2012-07-01,2026-04-04
207,2012-07-25,2012-01-01,2012-07-01,2012-07-01,2026-04-04
208,2012-07-26,2012-01-01,2012-07-01,2012-07-01,2026-04-04
209,2012-07-27,2012-01-01,2012-07-01,2012-07-01,2026-04-04
210,2012-07-28,2012-01-01,2012-07-01,2012-07-01,2026-04-04
211,2012-07-29,2012-01-01,2012-07-01,2012-07-01,2026-04-04
212,2012-07-30,2012-01-01,2012-07-01,2012-07-01,2026-04-04
213,2012-07-31,2012-01-01,2012-07-01,2012-07-01,2026-04-04
214,2012-08-01,2012-01-01,2012-07-01,2012-08-01,2026-04-04
215,2012-08-02,2012-01-01,2012-07-01,2012-08-01,2026-04-04
216,2012-08-03,2012-01-01,2012-07-01,2012-08-01,2026-04-04
217,2012-08-04,2012-01-01,2012-07-01,2012-08-01,2026-04-04
218,2012-08-05,2012-01-01,2012-07-01,2012-08-01,2026-04-04
219,2012-08-06,2012-01-01,2012-07-01,2012-08-01,2026-04-04
220,2012-08-07,2012-01-01,2012-07-01,2012-08-01,2026-04-04
221,2012-08-08,2012-01-01,2012-07-01,2012-08-01,2026-04-04
222,2012-08-09,2012-01-01,2012-07-01,2012-08-01,2026-04-04
223,2012-08-10,2012-01-01,2012-07-01,2012-08-01,2026-04-04
224,2012-08-11,2012-01-01,2012-07-01,2012-08-01,2026-04-04
225,2012-08-12,2012-01-01,2012-07-01,2012-08-01,2026-04-04
226,2012-08-13,2012-01-01,2012-07-01,2012-08-01,2026-04-04
227,2012-08-14,2012-01-01,2012-07-01,2012-08-01,2026-04-04
228,2012-08-15,2012-01-01,2012-07-01,2012-08-01,2026-04-04
229,2012-08-16,2012-01-01,2012-07-01,2012-08-01,2026-04-04
230,2012-08-17,2012-01-01,2012-07-01,2012-08-01,2026-04-04
231,2012-08-18,2012-01-01,2012-07-01,2012-08-01,2026-04-04
232,2012-08-19,2012-01-01,2012-07-01,2012-08-01,2026-04-04
233,2012-08-20,2012-01-01,2012-07-01,2012-08-01,2026-04-04
234,2012-08-21,2012-01-01,2012-07-01,2012-08-01,2026-04-04
235,2012-08-22,2012-01-01,2012-07-01,2012-08-01,2026-04-04
236,2012-08-23,2012-01-01,2012-07-01,2012-08-01,2026-04-04
237,2012-08-24,2012-01-01,2012-07-01,2012-08-01,2026-04-04
238,2012-08-25,2012-01-01,2012-07-01,2012-08-01,2026-04-04
239,2012-08-26,2012-01-01,2012-07-01,2012-08-01,2026-04-04
240,2012-08-27,2012-01-01,2012-07-01,2012-08-01,2026-04-04
241,2012-08-28,2012-01-01,2012-07-01,2012-08-01,2026-04-04
242,2012-08-29,2012-01-01,2012-07-01,2012-08-01,2026-04-04
243,2012-08-30,2012-01-01,2012-07-01,2012-08-01,2026-04-04
244,2012-08-31,2012-01-01,2012-07-01,2012-08-01,2026-04-04
245,2012-09-01,2012-01-01,2012-07-01,2012-09-01,2026-04-04
246,2012-09-02,2012-01-01,2012-07-01,2012-09-01,2026-04-04
247,2012-09-03,2012-01-01,2012-07-01,2012-09-01,2026-04-04
248,2012-09-04,2012-01-01,2012-07-01,2012-09-01,2026-04-04
249,2012-09-05,2012-01-01,2012-07-01,2012-09-01,2026-04-04
250,2012-09-06,2012-01-01,2012-07-01,2012-09-01,2026-04-04
251,2012-09-07,2012-01-01,2012-07-01,2012-09-01,2026-04-04
252,2012-09-08,2012-01-01,2012-07-01,2012-09-01,2026-04-04
253,2012-09-09,2012-01-01,2012-07-01,2012-09-01,2026-04-04
254,2012-09-10,2012-01-01,2012-07-01,2012-09-01,2026-04-04
255,2012-09-11,2012-01-01,2012-07-01,2012-09-01,2026-04-04
256,2012-09-12,2012-01-01,2012-07-01,2012-09-01,2026-04-04
257,2012-09-13,2012-01-01,2012-07-01,2012-09-01,2026-04-04
258,2012-09-14,2012-01-01,2012-07-01,2012-09-01,2026-04-04
259,2012-09-15,2012-01-01,2012-07-01,2012-09-01,2026-04-04
260,2012-09-16,2012-01-01,2012-07-01,2012-09-01,2026-04-04
261,2012-09-17,2012-01-01,2012-07-01,2012-09-01,2026-04-04
262,2012-09-18,2012-01-01,2012-07-01,2012-09-01,2026-04-04
263,2012-09-19,2012-01-01,2012-07-01,2012-09-01,2026-04-04
264,2012-09-20,2012-01-01,2012-07-01,2012-09-01,2026-04-04
265,2012-09-21,2012-01-01,2012-07-01,2012-09-01,2026-04-04
266,2012-09-22,2012-01-01,2012-07-01,2012-09-01,2026-04-04
267,2012-09-23,2012-01-01,2012-07-01,2012-09-01,2026-04-04
268,2012-09-24,2012-01-01,2012-07-01,2012-09-01,2026-04-04
269,2012-09-25,2012-01-01,2012-07-01,2012-09-01,2026-04-04
270,2012-09-26,2012-01-01,2012-07-01,2012-09-01,2026-04-04
271,2012-09-27,2012-01-01,2012-07-01,2012-09-01,2026-04-04
272,2012-09-28,2012-01-01,2012-07-01,2012-09-01,2026-04-04
273,2012-09-29,2012-01-01,2012-07-01,2012-09-01,2026-04-04
274,2012-09-30,2012-01-01,2012-07-01,2012-09-01,2026-04-04
275,2012-10-01,2012-01-01,2012-10-01,2012-10-01,2026-04-04
276,2012-10-02,2012-01-01,2012-10-01,2012-10-01,2026-04-04
277,2012-10-03,2012-01-01,2012-10-01,2012-10-01,2026-04-04
278,2012-10-04,2012-01-01,2012-10-01,2012-10-01,2026-04-04
279,2012-10-05,2012-01-01,2012-10-01,2012-10-01,2026-04-04
280,2012-10-06,2012-01-01,2012-10-01,2012-10-01,2026-04-04
281,2012-10-07,2012-01-01,2012-10-01,2012-10-01,2026-04-04
282,2012-10-08,2012-01-01,2012-10-01,2012-10-01,2026-04-04
283,2012-10-09,2012-01-01,2012-10-01,2012-10-01,2026-04-04
284,2012-10-10,2012-01-01,2012-10-01,2012-10-01,2026-04-04
285,2012-10-11,2012-01-01,2012-10-01,2012-10-01,2026-04-04
286,2012-10-12,2012-01-01,2012-10-01,2012-10-01,2026-04-04
287,2012-10-13,2012-01-01,2012-10-01,2012-10-01,2026-04-04
288,2012-10-14,2012-01-01,2012-10-01,2012-10-01,2026-04-04
289,2012-10-15,2012-01-01,2012-10-01,2012-10-01,2026-04-04
290,2012-10-16,2012-01-01,2012-10-01,2012-10-01,2026-04-04
291,2012-10-17,2012-01-01,2012-10-01,2012-10-01,2026-04-04
292,2012-10-18,2012-01-01,2012-10-01,2012-10-01,2026-04-04
293,2012-10-19,2012-01-01,2012-10-01,2012-10-01,2026-04-04
294,2012-10-20,2012-01-01,2012-10-01,2012-10-01,2026-04-04
295,2012-10-21,2012-01-01,2012-10-01,2012-10-01,2026-04-04
296,2012-10-22,2012-01-01,2012-10-01,2012-10-01,2026-04-04
297,2012-10-23,2012-01-01,2012-10-01,2012-10-01,2026-04-04
298,2012-10-24,2012-01-01,2012-10-01,2012-10-01,2026-04-04
299,2012-10-25,2012-01-01,2012-10-01,2012-10-01,2026-04-04
300,2012-10-26,2012-01-01,2012-10-01,2012-10-01,2026-04-04
301,2012-10-27,2012-01-01,2012-10-01,2012-10-01,2026-04-04
302,2012-10-28,2012-01-01,2012-10-01,2012-10-01,2026-04-04
303,2012-10-29,2012-01-01,2012-10-01,2012-10-01,2026-04-04
304,2012-10-30,2012-01-01,2012-10-01,2012-10-01,2026-04-04
305,2012-10-31,2012-01-01,2012-10-01,2012-10-01,2026-04-04
306,2012-11-01,2012-01-01,2012-10-01,2012-11-01,2026-04-04
307,2012-11-02,2012-01-01,2012-10-01,2012-11-01,2026-04-04
308,2012-11-03,2012-01-01,2012-10-01,2012-11-01,2026-04-04
309,2012-11-04,2012-01-01,2012-10-01,2012-11-01,2026-04-04
310,2012-11-05,2012-01-01,2012-10-01,2012-11-01,2026-04-04
311,2012-11-06,2012-01-01,2012-10-01,2012-11-01,2026-04-04
312,2012-11-07,2012-01-01,2012-10-01,2012-11-01,2026-04-04
313,2012-11-08,2012-01-01,2012-10-01,2012-11-01,2026-04-04
314,2012-11-09,2012-01-01,2012-10-01,2012-11-01,2026-04-04
315,2012-11-10,2012-01-01,2012-10-01,2012-11-01,2026-04-04
316,2012-11-11,2012-01-01,2012-10-01,2012-11-01,2026-04-04
317,2012-11-12,2012-01-01,2012-10-01,2012-11-01,2026-04-04
318,2012-11-13,2012-01-01,2012-10-01,2012-11-01,2026-04-04
319,2012-11-14,2012-01-01,2012-10-01,2012-11-01,2026-04-04
320,2012-11-15,2012-01-01,2012-10-01,2012-11-01,2026-04-04
321,2012-11-16,2012-01-01,2012-10-01,2012-11-01,2026-04-04
322,2012-11-17,2012-01-01,2012-10-01,2012-11-01,2026-04-04
323,2012-11-18,2012-01-01,2012-10-01,2012-11-01,2026-04-04
324,2012-11-19,2012-01-01,2012-10-01,2012-11-01,2026-04-04
325,2012-11-20,2012-01-01,2012-10-01,2012-11-01,2026-04-04
326,2012-11-21,2012-01-01,2012-10-01,2012-11-01,2026-04-04
327,2012-11-22,2012-01-01,2012-10-01,2012-11-01,2026-04-04
328,2012-11-23,2012-01-01,2012-10-01,2012-11-01,2026-04-04
329,2012-11-24,2012-01-01,2012-10-01,2012-11-01,2026-04-04
330,2012-11-25,2012-01-01,2012-10-01,2012-11-01,2026-04-04
331,2012-11-26,2012-01-01,2012-10-01,2012-11-01,2026-04-04
332,2012-11-27,2012-01-01,2012-10-01,2012-11-01,2026-04-04
333,2012-11-28,2012-01-01,2012-10-01,2012-11-01,2026-04-04
334,2012-11-29,2012-01-01,2012-10-01,2012-11-01,2026-04-04
335,2012-11-30,2012-01-01,2012-10-01,2012-11-01,2026-04-04
336,2012-12-01,2012-01-01,2012-10-01,2012-12-01,2026-04-04
337,2012-12-02,2012-01-01,2012-10-01,2012-12-01,2026-04-04
338,2012-12-03,2012-01-01,2012-10-01,2012-12-01,2026-04-04
339,2012-12-04,2012-01-01,2012-10-01,2012-12-01,2026-04-04
340,2012-12-05,2012-01-01,2012-10-01,2012-12-01,2026-04-04
341,2012-12-06,2012-01-01,2012-10-01,2012-12-01,2026-04-04
342,2012-12-07,2012-01-01,2012-10-01,2012-12-01,2026-04-04
343,2012-12-08,2012-01-01,2012-10-01,2012-12-01,2026-04-04
344,2012-12-09,2012-01-01,2012-10-01,2012-12-01,2026-04-04
345,2012-12-10,2012-01-01,2012-10-01,2012-12-01,2026-04-04
346,2012-12-11,2012-01-01,2012-10-01,2012-12-01,2026-04-04
347,2012-12-12,2012-01-01,2012-10-01,2012-12-01,2026-04-04
348,2012-12-13,2012-01-01,2012-10-01,2012-12-01,2026-04-04
349,2012-12-14,2012-01-01,2012-10-01,2012-12-01,2026-04-04
350,2012-12-15,2012-01-01,2012-10-01,2012-12-01,2026-04-04
351,2012-12-16,2012-01-01,2012-10-01,2012-12-01,2026-04-04
352,2012-12-17,2012-01-01,2012-10-01,2012-12-01,2026-04-04
353,2012-12-18,2012-01-01,2012-10-01,2012-12-01,2026-04-04
354,2012-12-19,2012-01-01,2012-10-01,2012-12-01,2026-04-04
355,2012-12-20,2012-01-01,2012-10-01,2012-12-01,2026-04-04
356,2012-12-21,2012-01-01,2012-10-01,2012-12-01,2026-04-04
357,2012-12-22,2012-01-01,2012-10-01,2012-12-01,2026-04-04
358,2012-12-23,2012-01-01,2012-10-01,2012-12-01,2026-04-04
359,2012-12-24,2012-01-01,2012-10-01,2012-12-01,2026-04-04
360,2012-12-25,2012-01-01,2012-10-01,2012-12-01,2026-04-04
361,2012-12-26,2012-01-01,2012-10-01,2012-12-01,2026-04-04
362,2012-12-27,2012-01-01,2012-10-01,2012-12-01,2026-04-04
363,2012-12-28,2012-01-01,2012-10-01,2012-12-01,2026-04-04
364,2012-12-29,2012-01-01,2012-10-01,2012-12-01,2026-04-04
365,2012-12-30,2012-01-01,2012-10-01,2012-12-01,2026-04-04
366,2012-12-31,2012-01-01,2012-10-01,2012-12-01,2026-04-04
367,2013-01-01,2013-01-01,2013-01-01,2013-01-01,2026-04-04
368,2013-01-02,2013-01-01,2013-01-01,2013-01-01,2026-04-04
369,2013-01-03,2013-01-01,2013-01-01,2013-01-01,2026-04-04
370,2013-01-04,2013-01-01,2013-01-01,2013-01-01,2026-04-04
371,2013-01-05,2013-01-01,2013-01-01,2013-01-01,2026-04-04
372,2013-01-06,2013-01-01,2013-01-01,2013-01-01,2026-04-04
373,2013-01-07,2013-01-01,2013-01-01,2013-01-01,2026-04-04
374,2013-01-08,2013-01-01,2013-01-01,2013-01-01,2026-04-04
375,2013-01-09,2013-01-01,2013-01-01,2013-01-01,2026-04-04
376,2013-01-10,2013-01-01,2013-01-01,2013-01-01,2026-04-04
